"orderid","employee","order_date","required_date","shipped_date","shipper","freight","customer","city","country","product","category","current_price","ordered_price","quantity","discount","total_sale_price"
10255,"Anne Dodsworth","1996-07-12","1996-08-09","1996-07-15","Federal Shipping","148.33","Richter Supermarkt","Genève","Switzerland","Chang","Beverages","19","15.2",20,"0","304.00"
10255,"Anne Dodsworth","1996-07-12","1996-08-09","1996-07-15","Federal Shipping","148.33","Richter Supermarkt","Genève","Switzerland","Pavlova","Confections","17.45","13.9",35,"0","486.50"
10255,"Anne Dodsworth","1996-07-12","1996-08-09","1996-07-15","Federal Shipping","148.33","Richter Supermarkt","Genève","Switzerland","Inlagd Sill","Seafood","19","15.2",25,"0","380.00"
10255,"Anne Dodsworth","1996-07-12","1996-08-09","1996-07-15","Federal Shipping","148.33","Richter Supermarkt","Genève","Switzerland","Raclette Courdavault","Dairy Products","55","44",30,"0","1320.00"
10256,"Janet Leverling","1996-07-15","1996-08-12","1996-07-17","United Package","13.97","Wellington Importadora","Resende","Brazil","Perth Pasties","Meat/Poultry","32.8","26.2",15,"0","393.00"
10256,"Janet Leverling","1996-07-15","1996-08-12","1996-07-17","United Package","13.97","Wellington Importadora","Resende","Brazil","Original Frankfurter grüne Soße","Condiments","13","10.4",12,"0","124.80"
10257,"Margaret Peacock","1996-07-16","1996-08-13","1996-07-22","Federal Shipping","81.91","HILARION-Abastos","San Cristóbal","Venezuela","Schoggi Schokolade","Confections","43.9","35.1",25,"0","877.50"
10257,"Margaret Peacock","1996-07-16","1996-08-13","1996-07-22","Federal Shipping","81.91","HILARION-Abastos","San Cristóbal","Venezuela","Chartreuse verte","Beverages","18","14.4",6,"0","86.40"
10257,"Margaret Peacock","1996-07-16","1996-08-13","1996-07-22","Federal Shipping","81.91","HILARION-Abastos","San Cristóbal","Venezuela","Original Frankfurter grüne Soße","Condiments","13","10.4",15,"0","156.00"
10258,"Nancy Davolio","1996-07-17","1996-08-14","1996-07-23","Speedy Express","140.51","Ernst Handel","Graz","Austria","Chang","Beverages","19","15.2",50,"0.2","608.00"
10258,"Nancy Davolio","1996-07-17","1996-08-14","1996-07-23","Speedy Express","140.51","Ernst Handel","Graz","Austria","Chef Anton's Gumbo Mix","Condiments","21.35","17",65,"0.2","884.00"
10258,"Nancy Davolio","1996-07-17","1996-08-14","1996-07-23","Speedy Express","140.51","Ernst Handel","Graz","Austria","Mascarpone Fabioli","Dairy Products","32","25.6",6,"0.2","122.88"
10259,"Margaret Peacock","1996-07-18","1996-08-15","1996-07-25","Federal Shipping","3.25","Centro comercial Moctezuma","México D.F.","Mexico","Sir Rodney's Scones","Confections","10","8",10,"0","80.00"
10259,"Margaret Peacock","1996-07-18","1996-08-15","1996-07-25","Federal Shipping","3.25","Centro comercial Moctezuma","México D.F.","Mexico","Gravad lax","Seafood","26","20.8",1,"0","20.80"
10260,"Margaret Peacock","1996-07-19","1996-08-16","1996-07-29","Speedy Express","55.09","Ottilies Käseladen","Köln","Germany","Jack's New England Clam Chowder","Seafood","9.65","7.7",16,"0.25","92.40"
10260,"Margaret Peacock","1996-07-19","1996-08-16","1996-07-29","Speedy Express","55.09","Ottilies Käseladen","Köln","Germany","Ravioli Angelo","Grains/Cereals","19.5","15.6",50,"0","780.00"
10260,"Margaret Peacock","1996-07-19","1996-08-16","1996-07-29","Speedy Express","55.09","Ottilies Käseladen","Köln","Germany","Tarte au sucre","Confections","49.3","39.4",15,"0.25","443.25"
10260,"Margaret Peacock","1996-07-19","1996-08-16","1996-07-29","Speedy Express","55.09","Ottilies Käseladen","Köln","Germany","Outback Lager","Beverages","15","12",21,"0.25","189.00"
10261,"Margaret Peacock","1996-07-19","1996-08-16","1996-07-30","United Package","3.05","Que Delícia","Rio de Janeiro","Brazil","Sir Rodney's Scones","Confections","10","8",20,"0","160.00"
10261,"Margaret Peacock","1996-07-19","1996-08-16","1996-07-30","United Package","3.05","Que Delícia","Rio de Janeiro","Brazil","Steeleye Stout","Beverages","18","14.4",20,"0","288.00"
10262,"Laura Callahan","1996-07-22","1996-08-19","1996-07-25","Federal Shipping","48.29","Rattlesnake Canyon Grocery","Albuquerque","USA","Chef Anton's Gumbo Mix","Condiments","21.35","17",12,"0.2","163.20"
10262,"Laura Callahan","1996-07-22","1996-08-19","1996-07-25","Federal Shipping","48.29","Rattlesnake Canyon Grocery","Albuquerque","USA","Uncle Bob's Organic Dried Pears","Produce","30","24",15,"0","360.00"
10262,"Laura Callahan","1996-07-22","1996-08-19","1996-07-25","Federal Shipping","48.29","Rattlesnake Canyon Grocery","Albuquerque","USA","Gnocchi di nonna Alice","Grains/Cereals","38","30.4",2,"0","60.80"
10263,"Anne Dodsworth","1996-07-23","1996-08-20","1996-07-31","Federal Shipping","146.06","Ernst Handel","Graz","Austria","Pavlova","Confections","17.45","13.9",60,"0.25","625.50"
10263,"Anne Dodsworth","1996-07-23","1996-08-20","1996-07-31","Federal Shipping","146.06","Ernst Handel","Graz","Austria","Guaraná Fantástica","Beverages","4.5","3.6",28,"0","100.80"
10263,"Anne Dodsworth","1996-07-23","1996-08-20","1996-07-31","Federal Shipping","146.06","Ernst Handel","Graz","Austria","Nord-Ost Matjeshering","Seafood","25.89","20.7",60,"0.25","931.50"
10263,"Anne Dodsworth","1996-07-23","1996-08-20","1996-07-31","Federal Shipping","146.06","Ernst Handel","Graz","Austria","Longlife Tofu","Produce","10","8",36,"0.25","216.00"
10264,"Michael Suyama","1996-07-24","1996-08-21","1996-08-23","Federal Shipping","3.67","Folk och fä HB","Bräcke","Sweden","Chang","Beverages","19","15.2",35,"0","532.00"
10264,"Michael Suyama","1996-07-24","1996-08-21","1996-08-23","Federal Shipping","3.67","Folk och fä HB","Bräcke","Sweden","Jack's New England Clam Chowder","Seafood","9.65","7.7",25,"0.15","163.62"
10265,"Andrew Fuller","1996-07-25","1996-08-22","1996-08-12","Speedy Express","55.28","Blondesddsl père et fils","Strasbourg","France","Alice Mutton","Meat/Poultry","39","31.2",30,"0","936.00"
10265,"Andrew Fuller","1996-07-25","1996-08-22","1996-08-12","Speedy Express","55.28","Blondesddsl père et fils","Strasbourg","France","Outback Lager","Beverages","15","12",20,"0","240.00"
10266,"Janet Leverling","1996-07-26","1996-09-06","1996-07-31","Federal Shipping","25.73","Wartian Herkku","Oulu","Finland","Queso Manchego La Pastora","Dairy Products","38","30.4",12,"0.05","346.56"
10267,"Margaret Peacock","1996-07-29","1996-08-26","1996-08-06","Speedy Express","208.58","Frankenversand","München","Germany","Boston Crab Meat","Seafood","18.4","14.7",50,"0","735.00"
10267,"Margaret Peacock","1996-07-29","1996-08-26","1996-08-06","Speedy Express","208.58","Frankenversand","München","Germany","Raclette Courdavault","Dairy Products","55","44",70,"0.15","2618.00"
10267,"Margaret Peacock","1996-07-29","1996-08-26","1996-08-06","Speedy Express","208.58","Frankenversand","München","Germany","Lakkalikööri","Beverages","18","14.4",15,"0.15","183.60"
10268,"Laura Callahan","1996-07-30","1996-08-27","1996-08-02","Federal Shipping","66.29","GROSELLA-Restaurante","Caracas","Venezuela","Thüringer Rostbratwurst","Meat/Poultry","123.79","99",10,"0","990.00"
10268,"Laura Callahan","1996-07-30","1996-08-27","1996-08-02","Federal Shipping","66.29","GROSELLA-Restaurante","Caracas","Venezuela","Mozzarella di Giovanni","Dairy Products","34.8","27.8",4,"0","111.20"
10269,"Steven Buchanan","1996-07-31","1996-08-14","1996-08-09","Speedy Express","4.56","White Clover Markets","Seattle","USA","Geitost","Dairy Products","2.5","2",60,"0.05","114.00"
10269,"Steven Buchanan","1996-07-31","1996-08-14","1996-08-09","Speedy Express","4.56","White Clover Markets","Seattle","USA","Mozzarella di Giovanni","Dairy Products","34.8","27.8",20,"0.05","528.20"
10270,"Nancy Davolio","1996-08-01","1996-08-29","1996-08-02","Speedy Express","136.54","Wartian Herkku","Oulu","Finland","Inlagd Sill","Seafood","19","15.2",30,"0","456.00"
10270,"Nancy Davolio","1996-08-01","1996-08-29","1996-08-02","Speedy Express","136.54","Wartian Herkku","Oulu","Finland","Ipoh Coffee","Beverages","46","36.8",25,"0","920.00"
10271,"Michael Suyama","1996-08-01","1996-08-29","1996-08-30","United Package","4.54","Split Rail Beer & Ale","Lander","USA","Geitost","Dairy Products","2.5","2",24,"0","48.00"
10272,"Michael Suyama","1996-08-02","1996-08-30","1996-08-06","United Package","98.03","Rattlesnake Canyon Grocery","Albuquerque","USA","Sir Rodney's Marmalade","Confections","81","64.8",6,"0","388.80"
10272,"Michael Suyama","1996-08-02","1996-08-30","1996-08-06","United Package","98.03","Rattlesnake Canyon Grocery","Albuquerque","USA","Gorgonzola Telino","Dairy Products","12.5","10",40,"0","400.00"
10272,"Michael Suyama","1996-08-02","1996-08-30","1996-08-06","United Package","98.03","Rattlesnake Canyon Grocery","Albuquerque","USA","Mozzarella di Giovanni","Dairy Products","34.8","27.8",24,"0","667.20"
10273,"Janet Leverling","1996-08-05","1996-09-02","1996-08-12","Federal Shipping","76.07","QUICK-Stop","Cunewalde","Germany","Ikura","Seafood","31","24.8",24,"0.05","565.44"
10273,"Janet Leverling","1996-08-05","1996-09-02","1996-08-12","Federal Shipping","76.07","QUICK-Stop","Cunewalde","Germany","Gorgonzola Telino","Dairy Products","12.5","10",15,"0.05","142.50"
10273,"Janet Leverling","1996-08-05","1996-09-02","1996-08-12","Federal Shipping","76.07","QUICK-Stop","Cunewalde","Germany","Geitost","Dairy Products","2.5","2",20,"0","40.00"
10273,"Janet Leverling","1996-08-05","1996-09-02","1996-08-12","Federal Shipping","76.07","QUICK-Stop","Cunewalde","Germany","Boston Crab Meat","Seafood","18.4","14.7",60,"0.05","837.90"
10273,"Janet Leverling","1996-08-05","1996-09-02","1996-08-12","Federal Shipping","76.07","QUICK-Stop","Cunewalde","Germany","Lakkalikööri","Beverages","18","14.4",33,"0.05","451.44"
10274,"Michael Suyama","1996-08-06","1996-09-03","1996-08-16","Speedy Express","6.01","Vins et alcools Chevalier","Reims","France","Flotemysost","Dairy Products","21.5","17.2",20,"0","344.00"
10274,"Michael Suyama","1996-08-06","1996-09-03","1996-08-16","Speedy Express","6.01","Vins et alcools Chevalier","Reims","France","Mozzarella di Giovanni","Dairy Products","34.8","27.8",7,"0","194.60"
10275,"Nancy Davolio","1996-08-07","1996-09-04","1996-08-09","Speedy Express","26.93","Magazzini Alimentari Riuniti","Bergamo","Italy","Guaraná Fantástica","Beverages","4.5","3.6",12,"0.05","41.04"
10275,"Nancy Davolio","1996-08-07","1996-09-04","1996-08-09","Speedy Express","26.93","Magazzini Alimentari Riuniti","Bergamo","Italy","Raclette Courdavault","Dairy Products","55","44",6,"0.05","250.80"
10276,"Laura Callahan","1996-08-08","1996-08-22","1996-08-14","Federal Shipping","13.84","Tortuga Restaurante","México D.F.","Mexico","Ikura","Seafood","31","24.8",15,"0","372.00"
10276,"Laura Callahan","1996-08-08","1996-08-22","1996-08-14","Federal Shipping","13.84","Tortuga Restaurante","México D.F.","Mexico","Konbu","Seafood","6","4.8",10,"0","48.00"
10277,"Andrew Fuller","1996-08-09","1996-09-06","1996-08-13","Federal Shipping","125.77","Morgenstern Gesundkost","Leipzig","Germany","Rössle Sauerkraut","Produce","45.6","36.4",20,"0","728.00"
10277,"Andrew Fuller","1996-08-09","1996-09-06","1996-08-13","Federal Shipping","125.77","Morgenstern Gesundkost","Leipzig","Germany","Tarte au sucre","Confections","49.3","39.4",12,"0","472.80"
10278,"Laura Callahan","1996-08-12","1996-09-09","1996-08-16","United Package","92.69","Berglunds snabbköp","Luleå","Sweden","Gula Malacca","Condiments","19.45","15.5",16,"0","248.00"
10278,"Laura Callahan","1996-08-12","1996-09-09","1996-08-16","United Package","92.69","Berglunds snabbköp","Luleå","Sweden","Raclette Courdavault","Dairy Products","55","44",15,"0","660.00"
10278,"Laura Callahan","1996-08-12","1996-09-09","1996-08-16","United Package","92.69","Berglunds snabbköp","Luleå","Sweden","Vegie-spread","Condiments","43.9","35.1",8,"0","280.80"
10278,"Laura Callahan","1996-08-12","1996-09-09","1996-08-16","United Package","92.69","Berglunds snabbköp","Luleå","Sweden","Röd Kaviar","Seafood","15","12",25,"0","300.00"
10279,"Laura Callahan","1996-08-13","1996-09-10","1996-08-16","United Package","25.83","Lehmanns Marktstand","Frankfurt a.M.","Germany","Alice Mutton","Meat/Poultry","39","31.2",15,"0.25","351.00"
10280,"Andrew Fuller","1996-08-14","1996-09-11","1996-09-12","Speedy Express","8.98","Berglunds snabbköp","Luleå","Sweden","Guaraná Fantástica","Beverages","4.5","3.6",12,"0","43.20"
10280,"Andrew Fuller","1996-08-14","1996-09-11","1996-09-12","Speedy Express","8.98","Berglunds snabbköp","Luleå","Sweden","Pâté chinois","Meat/Poultry","24","19.2",20,"0","384.00"
10280,"Andrew Fuller","1996-08-14","1996-09-11","1996-09-12","Speedy Express","8.98","Berglunds snabbköp","Luleå","Sweden","Rhönbräu Klosterbier","Beverages","7.75","6.2",30,"0","186.00"
10281,"Margaret Peacock","1996-08-14","1996-08-28","1996-08-21","Speedy Express","2.94","Romero y tomillo","Madrid","Spain","Teatime Chocolate Biscuits","Confections","9.2","7.3",1,"0","7.30"
10281,"Margaret Peacock","1996-08-14","1996-08-28","1996-08-21","Speedy Express","2.94","Romero y tomillo","Madrid","Spain","Guaraná Fantástica","Beverages","4.5","3.6",6,"0","21.60"
10281,"Margaret Peacock","1996-08-14","1996-08-28","1996-08-21","Speedy Express","2.94","Romero y tomillo","Madrid","Spain","Steeleye Stout","Beverages","18","14.4",4,"0","57.60"
10282,"Margaret Peacock","1996-08-15","1996-09-12","1996-08-21","Speedy Express","12.69","Romero y tomillo","Madrid","Spain","Nord-Ost Matjeshering","Seafood","25.89","20.7",6,"0","124.20"
10282,"Margaret Peacock","1996-08-15","1996-09-12","1996-08-21","Speedy Express","12.69","Romero y tomillo","Madrid","Spain","Ravioli Angelo","Grains/Cereals","19.5","15.6",2,"0","31.20"
10283,"Janet Leverling","1996-08-16","1996-09-13","1996-08-23","Federal Shipping","84.81","LILA-Supermercado","Barquisimeto","Venezuela","Genen Shouyu","Condiments","13","12.4",20,"0","248.00"
10283,"Janet Leverling","1996-08-16","1996-09-13","1996-08-23","Federal Shipping","84.81","LILA-Supermercado","Barquisimeto","Venezuela","Teatime Chocolate Biscuits","Confections","9.2","7.3",18,"0","131.40"
10283,"Janet Leverling","1996-08-16","1996-09-13","1996-08-23","Federal Shipping","84.81","LILA-Supermercado","Barquisimeto","Venezuela","Camembert Pierrot","Dairy Products","34","27.2",35,"0","952.00"
10283,"Janet Leverling","1996-08-16","1996-09-13","1996-08-23","Federal Shipping","84.81","LILA-Supermercado","Barquisimeto","Venezuela","Mozzarella di Giovanni","Dairy Products","34.8","27.8",3,"0","83.40"
10284,"Margaret Peacock","1996-08-19","1996-09-16","1996-08-27","Speedy Express","76.56","Lehmanns Marktstand","Frankfurt a.M.","Germany","Schoggi Schokolade","Confections","43.9","35.1",15,"0.25","394.87"
10284,"Margaret Peacock","1996-08-19","1996-09-16","1996-08-27","Speedy Express","76.56","Lehmanns Marktstand","Frankfurt a.M.","Germany","Gula Malacca","Condiments","19.45","15.5",21,"0","325.50"
10284,"Margaret Peacock","1996-08-19","1996-09-16","1996-08-27","Speedy Express","76.56","Lehmanns Marktstand","Frankfurt a.M.","Germany","Camembert Pierrot","Dairy Products","34","27.2",20,"0.25","408.00"
10284,"Margaret Peacock","1996-08-19","1996-09-16","1996-08-27","Speedy Express","76.56","Lehmanns Marktstand","Frankfurt a.M.","Germany","Laughing Lumberjack Lager","Beverages","14","11.2",5,"0.25","42.00"
10285,"Nancy Davolio","1996-08-20","1996-09-17","1996-08-26","United Package","76.83","QUICK-Stop","Cunewalde","Germany","Chai","Beverages","18","14.4",45,"0.2","518.40"
10285,"Nancy Davolio","1996-08-20","1996-09-17","1996-08-26","United Package","76.83","QUICK-Stop","Cunewalde","Germany","Boston Crab Meat","Seafood","18.4","14.7",40,"0.2","470.40"
10285,"Nancy Davolio","1996-08-20","1996-09-17","1996-08-26","United Package","76.83","QUICK-Stop","Cunewalde","Germany","Perth Pasties","Meat/Poultry","32.8","26.2",36,"0.2","754.56"
10286,"Laura Callahan","1996-08-21","1996-09-18","1996-08-30","Federal Shipping","229.24","QUICK-Stop","Cunewalde","Germany","Steeleye Stout","Beverages","18","14.4",100,"0","1440.00"
10286,"Laura Callahan","1996-08-21","1996-09-18","1996-08-30","Federal Shipping","229.24","QUICK-Stop","Cunewalde","Germany","Tarte au sucre","Confections","49.3","39.4",40,"0","1576.00"
10287,"Laura Callahan","1996-08-22","1996-09-19","1996-08-28","Federal Shipping","12.76","Ricardo Adocicados","Rio de Janeiro","Brazil","Pavlova","Confections","17.45","13.9",40,"0.15","472.60"
10287,"Laura Callahan","1996-08-22","1996-09-19","1996-08-28","Federal Shipping","12.76","Ricardo Adocicados","Rio de Janeiro","Brazil","Sasquatch Ale","Beverages","14","11.2",20,"0","224.00"
10287,"Laura Callahan","1996-08-22","1996-09-19","1996-08-28","Federal Shipping","12.76","Ricardo Adocicados","Rio de Janeiro","Brazil","Spegesild","Seafood","12","9.6",15,"0.15","122.40"
10288,"Margaret Peacock","1996-08-23","1996-09-20","1996-09-03","Speedy Express","7.45","Reggiani Caseifici","Reggio Emilia","Italy","Tourtière","Meat/Poultry","7.45","5.9",10,"0.1","53.10"
10288,"Margaret Peacock","1996-08-23","1996-09-20","1996-09-03","Speedy Express","7.45","Reggiani Caseifici","Reggio Emilia","Italy","Scottish Longbreads","Confections","12.5","10",3,"0.1","27.00"
10289,"Robert King","1996-08-26","1996-09-23","1996-08-28","Federal Shipping","22.77","B's Beverages","London","UK","Aniseed Syrup","Condiments","10","8",30,"0","240.00"
10289,"Robert King","1996-08-26","1996-09-23","1996-08-28","Federal Shipping","22.77","B's Beverages","London","UK","Wimmers gute Semmelknödel","Grains/Cereals","33.25","26.6",9,"0","239.40"
10290,"Laura Callahan","1996-08-27","1996-09-24","1996-09-03","Speedy Express","79.7","Comércio Mineiro","Sao Paulo","Brazil","Chef Anton's Gumbo Mix","Condiments","21.35","17",20,"0","340.00"
10290,"Laura Callahan","1996-08-27","1996-09-24","1996-09-03","Speedy Express","79.7","Comércio Mineiro","Sao Paulo","Brazil","Thüringer Rostbratwurst","Meat/Poultry","123.79","99",15,"0","1485.00"
10290,"Laura Callahan","1996-08-27","1996-09-24","1996-09-03","Speedy Express","79.7","Comércio Mineiro","Sao Paulo","Brazil","Maxilaku","Confections","20","16",15,"0","240.00"
10290,"Laura Callahan","1996-08-27","1996-09-24","1996-09-03","Speedy Express","79.7","Comércio Mineiro","Sao Paulo","Brazil","Original Frankfurter grüne Soße","Condiments","13","10.4",10,"0","104.00"
10291,"Michael Suyama","1996-08-27","1996-09-24","1996-09-04","United Package","6.4","Que Delícia","Rio de Janeiro","Brazil","Konbu","Seafood","6","4.8",20,"0.1","86.40"
10291,"Michael Suyama","1996-08-27","1996-09-24","1996-09-04","United Package","6.4","Que Delícia","Rio de Janeiro","Brazil","Gula Malacca","Condiments","19.45","15.5",24,"0.1","334.80"
10291,"Michael Suyama","1996-08-27","1996-09-24","1996-09-04","United Package","6.4","Que Delícia","Rio de Janeiro","Brazil","Manjimup Dried Apples","Produce","53","42.4",2,"0.1","76.32"
10292,"Nancy Davolio","1996-08-28","1996-09-25","1996-09-02","United Package","1.35","Tradição Hipermercados","Sao Paulo","Brazil","Sir Rodney's Marmalade","Confections","81","64.8",20,"0","1296.00"
10293,"Nancy Davolio","1996-08-29","1996-09-26","1996-09-11","Federal Shipping","21.18","Tortuga Restaurante","México D.F.","Mexico","Carnarvon Tigers","Seafood","62.5","50",12,"0","600.00"
10293,"Nancy Davolio","1996-08-29","1996-09-26","1996-09-11","Federal Shipping","21.18","Tortuga Restaurante","México D.F.","Mexico","Guaraná Fantástica","Beverages","4.5","3.6",10,"0","36.00"
10293,"Nancy Davolio","1996-08-29","1996-09-26","1996-09-11","Federal Shipping","21.18","Tortuga Restaurante","México D.F.","Mexico","Vegie-spread","Condiments","43.9","35.1",5,"0","175.50"
10293,"Nancy Davolio","1996-08-29","1996-09-26","1996-09-11","Federal Shipping","21.18","Tortuga Restaurante","México D.F.","Mexico","Rhönbräu Klosterbier","Beverages","7.75","6.2",6,"0","37.20"
10294,"Margaret Peacock","1996-08-30","1996-09-27","1996-09-05","United Package","147.26","Rattlesnake Canyon Grocery","Albuquerque","USA","Chai","Beverages","18","14.4",18,"0","259.20"
10294,"Margaret Peacock","1996-08-30","1996-09-27","1996-09-05","United Package","147.26","Rattlesnake Canyon Grocery","Albuquerque","USA","Alice Mutton","Meat/Poultry","39","31.2",15,"0","468.00"
10294,"Margaret Peacock","1996-08-30","1996-09-27","1996-09-05","United Package","147.26","Rattlesnake Canyon Grocery","Albuquerque","USA","Ipoh Coffee","Beverages","46","36.8",15,"0","552.00"
10294,"Margaret Peacock","1996-08-30","1996-09-27","1996-09-05","United Package","147.26","Rattlesnake Canyon Grocery","Albuquerque","USA","Camembert Pierrot","Dairy Products","34","27.2",21,"0","571.20"
10294,"Margaret Peacock","1996-08-30","1996-09-27","1996-09-05","United Package","147.26","Rattlesnake Canyon Grocery","Albuquerque","USA","Rhönbräu Klosterbier","Beverages","7.75","6.2",6,"0","37.20"
10295,"Andrew Fuller","1996-09-02","1996-09-30","1996-09-10","United Package","1.15","Vins et alcools Chevalier","Reims","France","Gnocchi di nonna Alice","Grains/Cereals","38","30.4",4,"0","121.60"
10296,"Michael Suyama","1996-09-03","1996-10-01","1996-09-11","Speedy Express","0.12","LILA-Supermercado","Barquisimeto","Venezuela","Queso Cabrales","Dairy Products","21","16.8",12,"0","201.60"
10296,"Michael Suyama","1996-09-03","1996-10-01","1996-09-11","Speedy Express","0.12","LILA-Supermercado","Barquisimeto","Venezuela","Pavlova","Confections","17.45","13.9",30,"0","417.00"
10296,"Michael Suyama","1996-09-03","1996-10-01","1996-09-11","Speedy Express","0.12","LILA-Supermercado","Barquisimeto","Venezuela","Gudbrandsdalsost","Dairy Products","36","28.8",15,"0","432.00"
10297,"Steven Buchanan","1996-09-04","1996-10-16","1996-09-10","United Package","5.74","Blondesddsl père et fils","Strasbourg","France","Chartreuse verte","Beverages","18","14.4",60,"0","864.00"
10297,"Steven Buchanan","1996-09-04","1996-10-16","1996-09-10","United Package","5.74","Blondesddsl père et fils","Strasbourg","France","Mozzarella di Giovanni","Dairy Products","34.8","27.8",20,"0","556.00"
10298,"Michael Suyama","1996-09-05","1996-10-03","1996-09-11","United Package","168.22","Hungry Owl All-Night Grocers","Cork","Ireland","Chang","Beverages","19","15.2",40,"0","608.00"
10298,"Michael Suyama","1996-09-05","1996-10-03","1996-09-11","United Package","168.22","Hungry Owl All-Night Grocers","Cork","Ireland","Inlagd Sill","Seafood","19","15.2",40,"0.25","456.00"
10298,"Michael Suyama","1996-09-05","1996-10-03","1996-09-11","United Package","168.22","Hungry Owl All-Night Grocers","Cork","Ireland","Raclette Courdavault","Dairy Products","55","44",30,"0.25","990.00"
10298,"Michael Suyama","1996-09-05","1996-10-03","1996-09-11","United Package","168.22","Hungry Owl All-Night Grocers","Cork","Ireland","Tarte au sucre","Confections","49.3","39.4",15,"0","591.00"
10299,"Margaret Peacock","1996-09-06","1996-10-04","1996-09-13","United Package","29.76","Ricardo Adocicados","Rio de Janeiro","Brazil","Teatime Chocolate Biscuits","Confections","9.2","7.3",15,"0","109.50"
10299,"Margaret Peacock","1996-09-06","1996-10-04","1996-09-13","United Package","29.76","Ricardo Adocicados","Rio de Janeiro","Brazil","Outback Lager","Beverages","15","12",20,"0","240.00"
